Jurisdiction,Year,Case Count
Arkansas,1914,473
Arkansas,1911,471
Arkansas,1979,471
Arkansas,1921,468
Arkansas,1906,463
Arkansas,1929,461
Arkansas,1972,458
Arkansas,1907,456
Arkansas,1908,456
Arkansas,1913,445
Arkansas,1931,442
Arkansas,2014,438
Arkansas,1973,428
Arkansas,1933,427
Arkansas,1932,423
Arkansas,1935,420
Arkansas,2010,416
Arkansas,1919,401
Arkansas,1938,398
Arkansas,1940,394
Arkansas,1937,393
Arkansas,1941,390
Arkansas,1968,376
Arkansas,2011,375
Arkansas,1939,373
Arkansas,1949,370
Arkansas,1934,369
Arkansas,1966,363
Arkansas,1971,356
Arkansas,1936,354
Arkansas,1970,352
Arkansas,1967,351
Arkansas,1969,349
Arkansas,1974,339
Arkansas,1978,334
Arkansas,2019,332
Arkansas,1947,331
Arkansas,1950,326
Arkansas,1942,325
Arkansas,1948,323
Arkansas,2012,320
Arkansas,1952,315
Arkansas,1956,310
Arkansas,1962,306
Arkansas,1954,303
Arkansas,1953,300
Arkansas,1951,300
Arkansas,1965,300
Arkansas,1944,300
Arkansas,1958,299
Arkansas,1963,295
Arkansas,1943,293
Arkansas,1945,292
Arkansas,1959,279
Arkansas,1946,277
Arkansas,1957,277
Arkansas,1977,271
Arkansas,1976,267
Arkansas,1961,260
Arkansas,1964,260
Arkansas,1960,258
Arkansas,1955,257
Arkansas,1975,256
Arkansas,2013,251
Arkansas,1860,229
Arkansas,1883,218
Arkansas,1892,218
Arkansas,1904,215
Arkansas,1884,209
Arkansas,1886,204
Arkansas,1861,197
Arkansas,1882,194
Arkansas,1885,175
Arkansas,1896,174
Arkansas,1891,169
Arkansas,1901,166
Arkansas,1899,165
Arkansas,1900,164
Arkansas,1897,158
Arkansas,1889,157
Arkansas,1880,155
Arkansas,1879,154
Arkansas,1898,151
Arkansas,1881,150
Arkansas,1902,150
Arkansas,1850,148
Arkansas,1895,148
Arkansas,1842,148
Arkansas,1878,144
Arkansas,1890,143
Arkansas,1854,143
Arkansas,1887,142
Arkansas,1853,139
Arkansas,1847,136
Arkansas,1893,135
Arkansas,1903,130
Arkansas,1894,130
Arkansas,1871,127
Arkansas,1856,124
Arkansas,1846,115
Arkansas,1848,110
Arkansas,1875,109
Arkansas,1855,105
Arkansas,1876,103
Arkansas,1877,100
Arkansas,1857,100
Arkansas,1888,98
Arkansas,1844,95
Arkansas,1851,93
Arkansas,1872,92
Arkansas,1852,90
Arkansas,1849,88
Arkansas,1843,86
Arkansas,1859,86
Arkansas,1873,80
Arkansas,1867,80
Arkansas,1874,76
Arkansas,1845,76
Arkansas,1870,68
Arkansas,1858,67
Arkansas,1840,67
Arkansas,1869,63
Arkansas,1841,60
Arkansas,1866,55
Arkansas,1839,42
Arkansas,1838,37
Arkansas,1832,35
Arkansas,1833,33
Arkansas,1835,29
Arkansas,1828,26
Arkansas,1831,25
Arkansas,1868,23
Arkansas,1834,22
Arkansas,1822,21
Arkansas,1862,19
Arkansas,1829,16
Arkansas,1826,16
Arkansas,1824,12
Arkansas,1825,12
Arkansas,1836,12
Arkansas,1863,12
Arkansas,1827,10
Arkansas,1837,8
Arkansas,1821,8
Arkansas,1830,6
Arkansas,1823,4
Arkansas,1820,2
Arkansas,1865,1
Georgia,1979,2265
Georgia,1978,2261
Georgia,1980,2256
Georgia,1982,2158
Georgia,1981,2149
Georgia,1977,2111
Georgia,1983,2092
Georgia,1976,2038
Georgia,1989,2000
Georgia,1984,1974
Georgia,1999,1942
Georgia,1998,1933
Georgia,1975,1909
Georgia,1997,1887
Georgia,1985,1874
Georgia,1991,1866
Georgia,1988,1861
Georgia,1990,1859
Georgia,1993,1857
Georgia,1992,1856
Georgia,1987,1810
Georgia,2002,1782
Georgia,2000,1772
Georgia,2003,1768
Georgia,2004,1768
Georgia,1986,1757
Georgia,1916,1747
Georgia,1994,1745
Georgia,2008,1739
Georgia,2001,1699
Georgia,2009,1687
Georgia,1996,1684
Georgia,2006,1659
Georgia,2005,1641
Georgia,1917,1635
Georgia,2007,1618
Georgia,1974,1536
Georgia,2010,1530
Georgia,1995,1524
Georgia,2011,1473
Georgia,2012,1436
Georgia,1923,1415
Georgia,1913,1404
Georgia,1973,1367
Georgia,1921,1360
Georgia,1922,1356
Georgia,2013,1341
Georgia,1924,1326
Georgia,1912,1304
Georgia,1911,1301
Georgia,1915,1293
Georgia,1931,1290
Georgia,1936,1269
Georgia,1918,1260
Georgia,1907,1232
Georgia,1934,1204
Georgia,1925,1201
Georgia,1919,1199
Georgia,1972,1198
Georgia,1920,1177
Georgia,1935,1175
Georgia,1932,1172
Georgia,1933,1166
Georgia,1927,1156
Georgia,1929,1141
Georgia,2014,1137
Georgia,1910,1132
Georgia,1930,1129
Georgia,1926,1119
Georgia,1971,1112
Georgia,1928,1076
Georgia,1914,1065
Georgia,1909,1058
Georgia,2015,1058
Georgia,2016,1030
Georgia,1970,1028
Georgia,1938,1019
Georgia,1940,1004
Georgia,1908,1001
Georgia,1939,1001
Georgia,1967,995
Georgia,1968,982
Georgia,1966,967
Georgia,1969,950
Georgia,2017,932
Georgia,1937,908
Georgia,1900,903
Georgia,2018,898
Georgia,1942,893
Georgia,1904,865
Georgia,1902,859
Georgia,1941,852
Georgia,1965,851
